JOURNAL_TITLE,JOURNAL_SUBJECTS
Jurnal Fourier,"Computer Science & IT, Economics, Econometrics & Finance, Education, Mathematics"
Jurnal Daya Matematis,Mathematics
Sainmatika: Jurnal Ilmiah Matematika dan Ilmu Pengetahuan Alam,"Agriculture, Biological Sciences & Forestry, Chemistry, Mathematics, Physics"
BAREKENG: JURNAL ILMU MATEMATIKA DAN TERAPAN,"Computer Science & IT, Decision Sciences, Operations Research & Management , Education, Engineering, Mathematics"
Jurnal ILMU DASAR,"Biochemistry, Genetics & Molecular Biology, Chemistry, Mathematics, Physics"
Jurnal Didaktik Matematika,Mathematics
Euclid Jurnal Pendidikan Matematika,"Economics, Econometrics & Finance, Education, Mathematics, Social Sciences"
Al-Khwarizmi: Jurnal Pendidikan Matematika dan Ilmu Pengetahuan Alam,"Education, Mathematics"
Phenomenon : Jurnal Pendidikan MIPA,"Chemistry, Education, Mathematics, Physics"
Journal Of Natural Sciences And Mathematics  Research,
EKSAKTA: Berkala Ilmiah Bidang MIPA,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology, Chemical Engineering, Chemistry & Bioengineering, Mathematics, Physics"
JPMI (Jurnal Pembelajaran Matematika Inovatif),Mathematics
Jurnal Cendekia : Jurnal Pendidikan Matematika,"Education, Mathematics"
Jurnal Numeracy,"Education, Mathematics"
Jurnal Sains dan Informatika,"Computer Science & IT, Engineering, Mathematics"
Jurnal Mercumatika : Jurnal Penelitian Matematika dan Pendidikan Matematika,"Education, Mathematics"
AKSIOMA,"Education, Mathematics"
Suska Journal of Mathematics Education,"Education, Mathematics"
EDUMATICA | Journal Pendidikan Matematika,"Education, Mathematics"
Masyarakat Telematika Dan Informasi : Jurnal Penelitian Teknologi Informasi dan Komunikasi,"Computer Science & IT, Mathematics, Social Sciences"
Edumatsains,"Agriculture, Biological Sciences & Forestry, Chemistry, Education, Mathematics, Physics"
JURING (Journal for Research in Mathematics Learning),Mathematics
JRPM (Jurnal Review Pembelajaran Matematika),Mathematics
Jurnal Ilmiah Pendidikan Citra Bakti,"Humanities, Computer Science & IT, Education, Languange, Linguistic, Communication & Media, Mathematics"
Jurnal Riset Pendidikan dan Inovasi Pembelajaran Matematika (JRPIPM),"Education, Mathematics, Social Sciences"
JMPM: Jurnal Matematika dan Pendidikan Matematika,"Education, Mathematics"
Eduma : Mathematics Education Learning and Teaching,"Education, Mathematics"
JURNAL PIJAR,"Chemistry, Education, Mathematics, Physics"
Prima: Jurnal Pendidikan Matematika,"Education, Mathematics"
MATEMATIKA DAN PEMBELAJARAN,"Computer Science & IT, Decision Sciences, Operations Research & Management , Education, Environmental Science, Mathematics"
SinkrOn,"Computer Science & IT, Mathematics, Mechanical Engineering"
PRISMA,"Education, Mathematics"
JURNAL ILMIAH MATEMATIKA DAN TERAPAN,Mathematics
