JOURNAL_TITLE,JOURNAL_SUBJECTS
"Journal Physical Education, Health and Recreation","Physics, Public Health"
Biosel: Biologi Science and Education,"Agriculture, Biological Sciences & Forestry, Biochemistry, Genetics & Molecular Biology, Education, Energy, Environmental Science"
BELAJEA: Jurnal Pendidikan Islam,Education
MAGISTRA: Jurnal Keguruan dan Ilmu Pendidikan,Education
English Language Teaching,"Education, Languange, Linguistic, Communication & Media"
Martabe : Jurnal Pengabdian Kepada Masyarakat,"Agriculture, Biological Sciences & Forestry, Arts, Humanities, Education, Social Sciences"
Jurnal Ilmiah Pendidikan Citra Bakti,"Humanities, Computer Science & IT, Education, Languange, Linguistic, Communication & Media, Mathematics"
KREDO : Jurnal Ilmiah Bahasa dan Sastra,"Arts, Education, Languange, Linguistic, Communication & Media, Social Sciences, Other"
"Jurnal Darussalam: Jurnal Pendidikan, Komunikasi dan Pemikiran Hukum Islam","Economics, Econometrics & Finance, Education, Languange, Linguistic, Communication & Media, Social Sciences, Other"
PSEJ (Pancasakti Science Education Journal),Education
Jurnal Bidang Pendidikan Dasar,Education
NATURALISTIC : Jurnal Kajian Penelitian Pendidikan dan Pembelajaran,Education
At-Taqaddum : Jurnal Peningkatan Mutu Keilmuan dan Kependidikan Islam,Education
At-Turats,Education
JURNAL TEMATIK,Education
JOURNAL OF ENGLISH FOR ACADEMIC,"Education, Languange, Linguistic, Communication & Media"
Jurnal Riset Pendidikan dan Inovasi Pembelajaran Matematika (JRPIPM),"Education, Mathematics, Social Sciences"
MAGHZA: Jurnal Ilmu Al-Qur&acute;an dan Tafsir,"Arts, Humanities, Education, Social Sciences"
JMPM: Jurnal Matematika dan Pendidikan Matematika,"Education, Mathematics"
Holistika : Jurnal Ilmiah PGSD,Education
AL-MURABBI: Jurnal Studi Kependidikan dan Keislaman,Education
JET (Journal of English Teaching),"Humanities, Education, Languange, Linguistic, Communication & Media"
Eduma : Mathematics Education Learning and Teaching,"Education, Mathematics"
Nusantara Journal of Computers and its Applications,"Computer Science & IT, Control & Systems Engineering, Decision Sciences, Operations Research & Management , Education, Engineering"
JURNAL PIJAR,"Chemistry, Education, Mathematics, Physics"
Jurnal ABDI: Media Pengabdian Kepada Masyarakat,"Humanities, Education, Other"
JURNAL TARBIYAH,"Religion, Education, Languange, Linguistic, Communication & Media, Social Sciences"
Jurnal Pendidikan Biologi,Education
Jurnal Pendidikan Fisika,"Education, Physics"
Muaddib : Studi Kependidikan dan Keislaman,Education
DHARMASMRTI: Jurnal Pascasarjana UNHI,Education
Prima: Jurnal Pendidikan Matematika,"Education, Mathematics"
"Metathesis: Journal of English Language, Literature, and Teaching","Education, Physics"
Sukma: Jurnal Pendidikan,Education
Tourism Reserch Journal,"Education, Social Sciences, Transportation, Other"
Transformatif,"Economics, Econometrics & Finance, Education, Languange, Linguistic, Communication & Media, Law, Crime, Criminology & Criminal Justice, Social Sciences"
